交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FHF,201501,33.65,33.65,33.25,33.35,-0.55,-1.62%,33,33.35,193,33.1,33.5,33.95,31.5,,
2015/1/5,FHF,201502,33.6,33.6,33.35,33.35,-0.55,-1.62%,15,33.35,48,33.05,33.55,33.9,31.85,,
2015/1/5,FHF,201503,-,-,-,-,-,-,-,33.6,4,-,-,35.15,31,,
2015/1/5,FHF,201506,-,-,-,-,-,-,-,33.2,3,-,-,35.1,32.95,,
2015/1/5,FHF,201509,-,-,-,-,-,-,-,33.5,0,-,-,-,-,,
2015/1/6,FHF,201501,33,33.15,32.85,32.85,-0.5,-1.50%,10,32.85,193,32.7,33.15,33.95,31.5,,
2015/1/6,FHF,201502,33.05,33.05,33.05,33.05,-0.3,-0.90%,7,33.05,55,32.65,33.1,33.9,31.85,,
2015/1/6,FHF,201503,-,-,-,-,-,-,-,33.1,4,-,-,35.15,31,,
2015/1/6,FHF,201506,-,-,-,-,-,-,-,32.7,3,-,-,35.1,32.95,,
2015/1/6,FHF,201509,-,-,-,-,-,-,-,33.0,0,-,-,-,-,,
2015/1/7,FHF,201501,33.05,33.1,33,33,0.15,0.46%,12,33.0,187,32.7,33.15,33.95,31.5,,
2015/1/7,FHF,201502,33.05,33.05,33,33,-0.05,-0.15%,6,33.0,51,32.65,33.1,33.9,31.85,,
2015/1/7,FHF,201503,-,-,-,-,-,-,-,33.25,4,-,-,35.15,31,,
2015/1/7,FHF,201506,-,-,-,-,-,-,-,32.85,3,-,-,35.1,32.95,,
2015/1/7,FHF,201509,-,-,-,-,-,-,-,33.15,0,-,-,-,-,,
2015/1/8,FHF,201501,33.2,33.25,32.95,32.95,-0.05,-0.15%,24,32.95,185,33,33.35,33.95,31.5,,
2015/1/8,FHF,201502,33,33,33,33,0,0.00%,2,33.0,53,32.95,33.3,33.9,31.85,,
2015/1/8,FHF,201503,-,-,-,-,-,-,-,33.2,4,-,-,35.15,31,,
2015/1/8,FHF,201506,-,-,-,-,-,-,-,32.8,3,-,-,35.1,32.95,,
2015/1/8,FHF,201509,-,-,-,-,-,-,-,33.1,0,-,-,-,-,,
2015/1/9,FHF,201501,33.5,33.9,33.45,33.55,0.6,1.82%,39,33.55,187,33.55,33.8,33.95,31.5,,
2015/1/9,FHF,201502,33.6,33.85,33.45,33.45,0.45,1.36%,39,33.45,47,33.5,34,33.9,31.85,,
2015/1/9,FHF,201503,-,-,-,-,-,-,-,33.8,4,-,-,35.15,31,,
2015/1/9,FHF,201506,-,-,-,-,-,-,-,33.4,3,-,-,35.1,32.95,,
2015/1/9,FHF,201509,-,-,-,-,-,-,-,33.7,0,-,-,-,-,,
2015/1/12,FHF,201501,33.2,34.05,33.2,33.45,-0.1,-0.30%,39,33.45,204,33.05,33.9,34.05,31.5,,
2015/1/12,FHF,201502,33.8,34.05,33.2,33.2,-0.25,-0.75%,26,33.2,51,33.25,34.45,34.05,31.85,,
2015/1/12,FHF,201503,-,-,-,-,-,-,-,33.7,4,-,-,35.15,31,,
2015/1/12,FHF,201506,-,-,-,-,-,-,-,33.3,3,-,-,35.1,32.95,,
2015/1/12,FHF,201509,-,-,-,-,-,-,-,33.6,0,-,-,-,-,,
2015/1/13,FHF,201501,33.3,33.6,33.3,33.45,0,0.00%,11,33.45,204,33.4,33.9,34.05,31.5,,
2015/1/13,FHF,201502,33.3,33.5,33.3,33.5,0.3,0.90%,4,33.5,50,33.4,33.85,34.05,31.85,,
2015/1/13,FHF,201503,-,-,-,-,-,-,-,33.7,4,-,-,35.15,31,,
2015/1/13,FHF,201506,-,-,-,-,-,-,-,33.3,3,-,-,35.1,32.95,,
2015/1/13,FHF,201509,-,-,-,-,-,-,-,33.6,0,-,-,-,-,,
2015/1/14,FHF,201501,33.4,33.4,33.3,33.3,-0.15,-0.45%,2,33.3,204,33.15,34.5,34.05,31.5,,
2015/1/14,FHF,201502,33.5,33.5,33.5,33.5,0,0.00%,2,33.5,52,33.15,34.45,34.05,31.85,,
2015/1/14,FHF,201503,-,-,-,-,-,-,-,33.55,4,-,-,35.15,31,,
2015/1/14,FHF,201506,-,-,-,-,-,-,-,33.15,3,-,-,35.1,32.95,,
2015/1/14,FHF,201509,-,-,-,-,-,-,-,33.45,0,-,-,-,-,,
2015/1/15,FHF,201501,33.2,33.2,33.2,33.2,-0.1,-0.30%,2,33.2,204,33.35,34,34.05,31.5,,
2015/1/15,FHF,201502,-,-,-,-,-,-,-,33.4,52,33.3,33.95,34.05,31.85,,
2015/1/15,FHF,201503,-,-,-,-,-,-,-,33.45,4,-,-,35.15,31,,
2015/1/15,FHF,201506,-,-,-,-,-,-,-,33.05,3,-,-,35.1,32.95,,
2015/1/15,FHF,201509,-,-,-,-,-,-,-,33.35,0,-,-,-,-,,
2015/1/16,FHF,201501,33.2,33.2,33.1,33.1,-0.1,-0.30%,29,33.1,186,32.95,33.2,34.05,31.5,,
2015/1/16,FHF,201502,33.2,33.2,33.2,33.2,-0.2,-0.60%,1,33.2,53,33,33.95,34.05,31.85,,
2015/1/16,FHF,201503,-,-,-,-,-,-,-,33.35,4,-,-,35.15,31,,
2015/1/16,FHF,201506,-,-,-,-,-,-,-,32.95,3,-,-,35.1,32.95,,
2015/1/16,FHF,201509,-,-,-,-,-,-,-,33.25,0,-,-,-,-,,
2015/1/19,FHF,201501,33.1,33.1,32.8,32.8,-0.3,-0.91%,36,32.8,165,32.7,-,34.05,31.5,,
2015/1/19,FHF,201502,33.2,33.2,32.7,32.7,-0.5,-1.51%,32,32.7,38,32.65,33.95,34.05,31.85,,
2015/1/19,FHF,201503,-,-,-,-,-,-,-,33.05,4,-,-,35.15,31,,
2015/1/19,FHF,201506,-,-,-,-,-,-,-,32.65,3,-,-,35.1,32.95,,
2015/1/19,FHF,201509,-,-,-,-,-,-,-,32.95,0,-,-,-,-,,
2015/1/20,FHF,201501,32.8,32.8,32.8,32.8,0,0.00%,2,32.8,165,32.8,33.2,34.05,31.5,,
2015/1/20,FHF,201502,32.8,32.8,32.8,32.8,0.1,0.31%,5,32.8,33,32.55,33.2,34.05,31.85,,
2015/1/20,FHF,201503,-,-,-,-,-,-,-,33.05,4,-,-,35.15,31,,
2015/1/20,FHF,201506,-,-,-,-,-,-,-,32.65,3,-,-,35.1,32.95,,
2015/1/20,FHF,201509,-,-,-,-,-,-,-,32.95,0,-,-,-,-,,
2015/1/21,FHF,201501,32.75,33.3,32.75,33.3,0.5,1.52%,7,0.0,158,-,33.3,34.05,31.5,,
2015/1/21,FHF,201502,32.8,33.4,32.8,33.1,0.3,0.91%,43,33.1,49,33.1,33.4,34.05,31.85,,
2015/1/21,FHF,201503,-,-,-,-,-,-,-,33.55,4,32.95,-,35.15,31,,
2015/1/21,FHF,201506,-,-,-,-,-,-,-,33.15,3,-,-,35.1,32.95,,
2015/1/21,FHF,201509,-,-,-,-,-,-,-,33.45,0,-,-,-,-,,
2015/1/22,FHF,201502,33.35,33.5,33.25,33.5,0.4,1.21%,48,33.5,37,33.4,33.65,34.05,31.85,,
2015/1/22,FHF,201503,33.45,33.6,33.2,33.6,0.05,0.15%,31,33.6,22,33.25,33.65,35.15,31,,
2015/1/22,FHF,201506,-,-,-,-,-,-,-,33.55,3,-,-,35.1,32.95,,
2015/1/22,FHF,201509,-,-,-,-,-,-,-,33.85,0,-,-,-,-,,
2015/1/22,FHF,201512,-,-,-,-,-,-,-,33.8,0,-,-,-,-,,
2015/1/23,FHF,201502,33.35,33.35,33.1,33.1,-0.4,-1.19%,2,33.1,37,33.05,33.55,34.05,31.85,,
2015/1/23,FHF,201503,33.3,33.3,33.3,33.3,-0.3,-0.89%,5,33.3,27,33.05,34.1,35.15,31,,
2015/1/23,FHF,201506,-,-,-,-,-,-,-,33.15,3,-,-,35.1,32.95,,
2015/1/23,FHF,201509,-,-,-,-,-,-,-,33.45,0,-,-,-,-,,
2015/1/23,FHF,201512,-,-,-,-,-,-,-,33.4,0,-,-,-,-,,
2015/1/26,FHF,201502,-,-,-,-,-,-,-,32.9,37,32.75,33.7,34.05,31.85,,
2015/1/26,FHF,201503,33.05,33.05,33.05,33.05,-0.25,-0.75%,5,33.05,32,33,33.15,35.15,31,,
2015/1/26,FHF,201506,-,-,-,-,-,-,-,32.95,3,-,-,35.1,32.95,,
2015/1/26,FHF,201509,-,-,-,-,-,-,-,33.25,0,-,-,-,-,,
2015/1/26,FHF,201512,-,-,-,-,-,-,-,33.2,0,-,-,-,-,,
2015/1/27,FHF,201502,-,-,-,-,-,-,-,33.35,37,33.2,33.95,34.05,31.85,,
2015/1/27,FHF,201503,33.45,33.45,33.35,33.35,0.3,0.91%,10,33.35,27,33.25,33.65,35.15,31,,
2015/1/27,FHF,201506,-,-,-,-,-,-,-,33.4,3,-,-,35.1,32.95,,
2015/1/27,FHF,201509,-,-,-,-,-,-,-,33.7,0,-,-,-,-,,
2015/1/27,FHF,201512,-,-,-,-,-,-,-,33.65,0,-,-,-,-,,
2015/1/28,FHF,201502,33.1,33.2,33.1,33.2,-0.15,-0.45%,4,33.2,40,33,33.75,34.05,31.85,,
2015/1/28,FHF,201503,33.15,33.15,33.15,33.15,-0.2,-0.60%,10,33.15,37,33,33.45,35.15,31,,
2015/1/28,FHF,201506,-,-,-,-,-,-,-,33.25,3,-,-,35.1,32.95,,
2015/1/28,FHF,201509,-,-,-,-,-,-,-,33.55,0,-,-,-,-,,
2015/1/28,FHF,201512,-,-,-,-,-,-,-,33.5,0,33.15,-,-,-,,
2015/1/29,FHF,201502,-,-,-,-,-,-,-,33.1,40,32.85,33.85,34.05,31.85,,
2015/1/29,FHF,201503,33,33,33,33,-0.15,-0.45%,2,33.0,39,32.55,33.3,35.15,31,,
2015/1/29,FHF,201506,-,-,-,-,-,-,-,33.15,3,-,-,35.1,32.95,,
2015/1/29,FHF,201509,-,-,-,-,-,-,-,33.45,0,-,-,-,-,,
2015/1/29,FHF,201512,-,-,-,-,-,-,-,33.4,0,-,-,-,-,,
2015/1/30,FHF,201502,33.4,33.45,33.2,33.2,0.1,0.30%,8,33.2,40,31.5,33.45,34.05,31.85,,
2015/1/30,FHF,201503,33.45,33.45,33.45,33.45,0.45,1.36%,10,33.45,29,32.55,33.35,35.15,31,,
2015/1/30,FHF,201506,-,-,-,-,-,-,-,33.25,3,-,-,35.1,32.95,,
